:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404440,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404442,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404444,CentiAccelX:-1,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404446,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404448,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404450,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404452,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404454,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404456,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404458,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404460,CentiAccelX:-1,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404462,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404464,CentiAccelX:2,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404466,CentiAccelX:12,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404468,CentiAccelX:4,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404470,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404472,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404474,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404476,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404478,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404480,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404482,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404484,CentiAccelX:1,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404486,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404488,CentiAccelX:-1,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404490,CentiAccelX:-9,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404492,CentiAccelX:-1,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404494,CentiAccelX:-1,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404496,CentiAccelX:-1,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404498,CentiAccelX:-1,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404500,CentiAccelX:-1,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404502,CentiAccelX:-1,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404504,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404506,CentiAccelX:-1,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404508,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404510,CentiAccelX:-1,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404512,CentiAccelX:-1,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404514,CentiAccelX:-1,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404516,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404518,CentiAccelX:-1,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404520,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404522,CentiAccelX:6,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404524,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404526,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404528,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404530,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404532,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404534,CentiAccelX:-1,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404536,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404538,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404540,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404542,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404544,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404546,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404548,CentiAccelX:-2,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404550,CentiAccelX:-1,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404552,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404554,CentiAccelX:-1,CentiAccelY:0,CentiAccelZ:0
