TimeStamp:1481404401,Centiproximity:900
TimeStamp:1481404403,Centiproximity:0
TimeStamp:1481404405,Centiproximity:0
TimeStamp:1481404407,Centiproximity:0
TimeStamp:1481404409,Centiproximity:0
TimeStamp:1481404411,Centiproximity:0
TimeStamp:1481404413,Centiproximity:0
TimeStamp:1481404415,Centiproximity:0
TimeStamp:1481404417,Centiproximity:0
TimeStamp:1481404419,Centiproximity:0
TimeStamp:1481404421,Centiproximity:0
TimeStamp:1481404423,Centiproximity:0
TimeStamp:1481404425,Centiproximity:0
TimeStamp:1481404427,Centiproximity:0
TimeStamp:1481404429,Centiproximity:0
TimeStamp:1481404432,Centiproximity:0
TimeStamp:1481404434,Centiproximity:0
TimeStamp:1481404436,Centiproximity:0
TimeStamp:1481404438,Centiproximity:0
TimeStamp:1481404440,Centiproximity:0
TimeStamp:1481404442,Centiproximity:0
TimeStamp:1481404444,Centiproximity:0
TimeStamp:1481404446,Centiproximity:0
TimeStamp:1481404448,Centiproximity:0
TimeStamp:1481404450,Centiproximity:0
TimeStamp:1481404452,Centiproximity:0
TimeStamp:1481404454,Centiproximity:0
TimeStamp:1481404456,Centiproximity:0
TimeStamp:1481404458,Centiproximity:0
TimeStamp:1481404460,Centiproximity:0
TimeStamp:1481404462,Centiproximity:0
TimeStamp:1481404464,Centiproximity:0
TimeStamp:1481404466,Centiproximity:0
TimeStamp:1481404468,Centiproximity:0
TimeStamp:1481404470,Centiproximity:0
TimeStamp:1481404472,Centiproximity:0
TimeStamp:1481404474,Centiproximity:0
TimeStamp:1481404476,Centiproximity:0
TimeStamp:1481404478,Centiproximity:0
TimeStamp:1481404480,Centiproximity:0
TimeStamp:1481404482,Centiproximity:0
TimeStamp:1481404484,Centiproximity:0
TimeStamp:1481404486,Centiproximity:0
TimeStamp:1481404488,Centiproximity:0
TimeStamp:1481404490,Centiproximity:0
TimeStamp:1481404492,Centiproximity:0
TimeStamp:1481404494,Centiproximity:0
TimeStamp:1481404496,Centiproximity:0
TimeStamp:1481404498,Centiproximity:0
TimeStamp:1481404500,Centiproximity:0
TimeStamp:1481404502,Centiproximity:0
TimeStamp:1481404504,Centiproximity:0
TimeStamp:1481404506,Centiproximity:0
TimeStamp:1481404508,Centiproximity:0
TimeStamp:1481404510,Centiproximity:0
TimeStamp:1481404512,Centiproximity:0
TimeStamp:1481404514,Centiproximity:0
TimeStamp:1481404516,Centiproximity:0
TimeStamp:1481404518,Centiproximity:0
TimeStamp:1481404520,Centiproximity:0
TimeStamp:1481404522,Centiproximity:0
TimeStamp:1481404524,Centiproximity:0
TimeStamp:1481404526,Centiproximity:0
TimeStamp:1481404528,Centiproximity:0
TimeStamp:1481404530,Centiproximity:0
TimeStamp:1481404532,Centiproximity:0
TimeStamp:1481404534,Centiproximity:0
TimeStamp:1481404536,Centiproximity:0
TimeStamp:1481404538,Centiproximity:0
TimeStamp:1481404540,Centiproximity:0
TimeStamp:1481404542,Centiproximity:0
TimeStamp:1481404544,Centiproximity:0
TimeStamp:1481404546,Centiproximity:0
TimeStamp:1481404548,Centiproximity:0
TimeStamp:1481404550,Centiproximity:0
TimeStamp:1481404552,Centiproximity:0
TimeStamp:1481404554,Centiproximity:0
TimeStamp:1481404556,Centiproximity:0
TimeStamp:1481404558,Centiproximity:0
TimeStamp:1481404560,Centiproximity:0
